city_name,iata_code,distance
南宁,NNG,0
南宁,LZH,190
南宁,BHY,210
南宁,ZHA,290
柳州,LZH,0
柳州,KWL,130
柳州,NNG,200
柳州,BHY,260
桂林,KWL,0
桂林,LZH,130
桂林,HNY,240
桂林,WGN,280
桂林,NNG,300
梧州,CAN,220
梧州,ZUH,210
梧州,LZH,230
梧州,NNG,300
北海,BHY,0
北海,ZHA,160
北海,NNG,180
北海,HAK,240
防城港,NNG,130
防城港,BHY,200
防城港,ZHA,250
防城港,HAK,270
钦州,NNG,100
钦州,BHY,150
钦州,ZHA,220
钦州,HAK,280
贵港,NNG,150
贵港,LZH,170
贵港,BHY,220
贵港,KWL,260
玉林,BHY,170
玉林,ZHA,170
玉林,NNG,190
玉林,LZH,240
百色,NNG,260
百色,KWE,270
百色,KMG,300
百色,LZH,300
贺州,KWL,190
贺州,CAN,220
贺州,LZH,260
贺州,HNY,260
河池,LZH,170
河池,KWL,240
河池,NNG,260
河池,KWE,260
来宾,LZH,80
来宾,NNG,150
来宾,KWL,210
崇左,NNG,120
崇左,BHY,240
崇左,ZHA,300
贵阳,KWE,0
贵阳,ZYI,130
贵阳,WMT,160
贵阳,TEN,260
六盘水,KWE,190
六盘水,WMT,170
六盘水,KMG,260
六盘水,ZYI,220
遵义,ZYI,0
遵义,WMT,0
遵义,KWE,150
遵义,TEN,230
遵义,CKG,250
安顺,KWE,100
安顺,WMT,190
安顺,ZYI,210
安顺,KMG,300
毕节,KWE,180
毕节,WMT,180
毕节,ZYI,220
毕节,CKG,280
铜仁,TEN,0
铜仁,ZYI,260
铜仁,KWE,280
铜仁,CKG,300
昆明,KMG,0
昆明,DLU,250
昆明,SYM,300
昆明,LJG,300
曲靖,KMG,130
曲靖,KWE,260
曲靖,WMT,280
玉溪,KMG,90
玉溪,SYM,280
玉溪,DLU,300
保山,LUM,0
保山,DLU,0
保山,TCZ,0
保山,LJG,220
保山,KMG,300
昭通,YBP,260
昭通,KMG,280
昭通,KWE,300
昭通,LZO,300
丽江,LJG,0
丽江,DLU,140
丽江,LUM,180
丽江,TCZ,230
丽江,KMG,300
普洱,JHG,0
普洱,SYM,0
普洱,KMG,280
普洱,DLU,300
临沧,TCZ,170
临沧,LUM,180
临沧,DLU,220
临沧,SYM,260
成都,CTU,0
成都,TFU,0
成都,DCY,0
成都,GZG,0
成都,AHJ,0
自贡,LZO,110
自贡,TFU,160
自贡,YBP,160
自贡,CTU,190
自贡,CKG,250
攀枝花,XIC,0
攀枝花,PZI,0
攀枝花,LJG,220
攀枝花,KMG,280
泸州,LZO,0
泸州,YBP,110
泸州,CKG,120
泸州,TFU,220
泸州,CTU,240
德阳,MIG,60
德阳,CTU,80
德阳,TFU,110
德阳,GYS,220
绵阳,MIG,0
绵阳,CTU,120
绵阳,TFU,150
绵阳,GYS,180
广元,GYS,0
广元,MIG,180
广元,BZX,200
广元,HZG,230
遂宁,NAO,120
遂宁,TFU,150
遂宁,CTU,160
遂宁,CKG,170
内江,LZO,120
内江,YBP,150
内江,TFU,170
内江,CTU,190
内江,CKG,220
乐山,CTU,140
乐山,TFU,160
乐山,YBP,220
乐山,XIC,300
南充,NAO,0
南充,BZX,140
南充,CKG,160
南充,GYS,260
南充,CTU,260
眉山,CTU,90
眉山,TFU,100
眉山,YBP,200
眉山,LZO,240
宜宾,YBP,0
